source,target,value
2013,Australia,30
2013,Belgium,68
2013,Canada,127
2013,Denmark,9
2013,Germany,112
2013,Ireland,1
2013,Israel,1
2013,Luxembourg,6
2013,Netherlands,58
2013,Norway,14
2013,Poland,1
2013,Russian Federation,74
2013,Spain,1
2013,Sweden,8
2013,Switzerland,2
2013,United Kingdom,630
2013,United States,23
2013,Yemen,1
2012,Australia,29
2012,Belgium,61
2012,Canada,119
2012,Denmark,9
2012,Germany,138
2012,Ireland,1
2012,Israel,1
2012,Kyrgyzstan,2
2012,Netherlands,58
2012,Norway,14
2012,Poland,1
2012,Russian Federation,44
2012,Spain,1
2012,Sweden,7
2012,Switzerland,4
2012,United Kingdom,619
2012,United States,23
2012,Yemen,1
2011,Australia,29
2011,Belgium,31
2011,Canada,64
2011,Denmark,14
2011,Germany,193
2011,Ireland,5
2011,Israel,1
2011,Kyrgyzstan,2
2011,Mexico,1
2011,Netherlands,36
2011,Norway,14
2011,Poland,1
2011,Russian Federation,18
2011,Spain,1
2011,Sweden,9
2011,Switzerland,4
2011,United Kingdom,603
2011,United States,25
2011,Yemen,1
2010,Australia,25
2010,Belgium,22
2010,Canada,23
2010,Denmark,9
2010,Germany,146
2010,Ireland,6
2010,Israel,2
2010,Kyrgyzstan,3
2010,Mexico,1
2010,Netherlands,32
2010,New Zealand,1
2010,Norway,14
2010,Russian Federation,14
2010,Sweden,8
2010,Switzerland,4
2010,United Kingdom,581
2010,United States,25
2010,Yemen,1
2009,Australia,15
2009,Belgium,13
2009,Canada,4
2009,Denmark,9
2009,Germany,156
2009,Ireland,6
2009,Israel,2
2009,Kyrgyzstan,7
2009,Mexico,1
2009,Netherlands,31
2009,New Zealand,1
2009,Norway,14
2009,Russian Federation,10
2009,Sweden,8
2009,Switzerland,4
2009,United Kingdom,574
2009,United States,25
2009,Yemen,1
2008,Australia,14
2008,Belgium,9
2008,Canada,4
2008,Denmark,8
2008,Germany,180
2008,Ireland,6
2008,Israel,2
2008,Kyrgyzstan,6
2008,Mexico,1
2008,Netherlands,29
2008,New Zealand,1
2008,Norway,13
2008,Russian Federation,6
2008,Sweden,7
2008,Switzerland,6
2008,United Kingdom,570
2008,United States,23
2008,Yemen,1
2007,Australia,15
2007,Belgium,7
2007,Canada,4
2007,Denmark,8
2007,Germany,204
2007,Ireland,6
2007,Israel,2
2007,Kyrgyzstan,5
2007,Mexico,1
2007,Netherlands,27
2007,New Zealand,1
2007,Norway,9
2007,Sweden,7
2007,Switzerland,6
2007,United Kingdom,281
2007,United States,22
2006,Australia,8
2006,Canada,4
2006,Denmark,7
2006,Germany,239
2006,Ireland,5
2006,Kyrgyzstan,2
2006,Mexico,1
2006,Netherlands,20
2006,Norway,5
2006,Sweden,7
2006,Switzerland,6
2006,United Kingdom,64
2006,United States,30
2005,Australia,6
2005,Canada,4
2005,Denmark,7
2005,Germany,193
2005,Ireland,5
2005,Mexico,1
2005,Netherlands,18
2005,New Zealand,1
2005,Norway,4
2005,Sweden,6
2005,Switzerland,1
2005,United Kingdom,33
2005,United States,9
2004,Australia,3
2004,Canada,4
2004,Denmark,7
2004,Germany,276
2004,Ireland,5
2004,Netherlands,15
2004,New Zealand,1
2004,Norway,3
2004,Sweden,2
2004,Switzerland,1
2004,United Kingdom,17
2004,United States,9
2003,Australia,3
2003,Canada,3
2003,Denmark,7
2003,Germany,258
2003,Ireland,5
2003,Netherlands,14
2003,New Zealand,1
2003,Norway,3
2003,Sweden,2
2003,Switzerland,1
2003,United States,7
2002,Australia,4
2002,Denmark,7
2002,Germany,225
2002,Ireland,5
2002,Netherlands,9
2002,New Zealand,1
2002,Norway,3
2002,Sweden,2
2002,Switzerland,2
2002,Uzbekistan,1
2001,Australia,4
2001,Denmark,2
2001,Ireland,1
2001,Netherlands,7
2001,New Zealand,1
2001,Norway,3
2001,Switzerland,1
2000,Australia,3
2000,Denmark,2
2000,Netherlands,3
2000,Norway,3
2000,United States,2
1999,Australia,2
1999,Norway,3
1999,Thailand,4
1999,United States,2
1998,Australia,2
1998,Canada,2
1998,France,3
1998,United States,2
1997,Australia,1
1996,Australia,1
1996,Cambodia,3
1996,Canada,1
1996,France,1
1996,Singapore,1
1996,Uzbekistan,4
1995,Cambodia,2
1995,Canada,1
1995,France,1
1995,Singapore,1
1995,Uzbekistan,2
1994,Canada,2
1994,Uzbekistan,1